	category_1	city_1	category_2	city_2	category_3	city_3	category_4	city_4	category_5	city_5
288	Tourism Attractions/ Sites	Al Baha								
289	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
290	Tourism Attractions/ Sites	Yanbu								
291	Accommodation	Madinah								
292	Tourism Attractions/ Sites	Madinah								
293	Tourism Attractions/ Sites	Al Ahsa								
294	Tourism Attractions/ Sites	Taif								
295	Retail	Riyadh								
296	Tourism Attractions/ Sites	Madinah								
297	Tourism Attractions/ Sites	Tanomah								
298	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
299	Accommodation	Khobar								
300	Tourism Attractions/ Sites	Tabuk								
301	Tourism Attractions/ Sites	Taif								
302	Tourism Attractions/ Sites	Madinah								
303	Tourism Attractions/ Sites	Abha								
304	Tourism Attractions/ Sites	Al Namas								
305	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
306	Tourism Attractions/ Sites	Taif								
307	Tourism Attractions/ Sites	Sakaka / AlJouf								
308	Accommodation	Jeddah								
309	Food & Beverage	Riyadh								
310	Tourism Attractions/ Sites	Jizan								
311	Tourism Attractions/ Sites	Madinah								
312	Tourism Attractions/ Sites	Al Baha								
313	Tourism Attractions/ Sites	Taif								
314	Retail	Riyadh								
315	Tourism Attractions/ Sites	Al Ahsa								
316	Tourism Attractions/ Sites	Madinah								
317	Accommodation	Jizan	Food & Beverage	Riyadh	Accommodation	Makkah				
318	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
319	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
320	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
321	Accommodation	Tabuk								
322	Tourism Attractions/ Sites	Yanbu								
323	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
324	Accommodation	Jeddah								
325	Accommodation	Riyadh								
326	Accommodation	Taif								
327	Tourism Attractions/ Sites	Yanbu								
328	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
329	Accommodation	Madinah								
330	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
331	Retail	Abha								
332	Tourism Attractions/ Sites	Tabuk								
333	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
334	Tourism Attractions/ Sites	Abha								
335	Accommodation	Hail								
336	Tourism Attractions/ Sites	Taif								
337	Tourism Attractions/ Sites	Tanomah								
338	Accommodation	Abha								
339	Tourism Attractions/ Sites	Khobar								
340	Tourism Attractions/ Sites	Madinah								
341	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
342	Tourism Attractions/ Sites	Al Baha								
